".InternetGatewayDevice.","IGD",,,"object","-","R","V",,"The top-level object for an Internet Gateway Device."
".InternetGatewayDevice.LANDeviceNumberOfEntries",,"count(LANDevice)",,"unsignedInt","-","R",,,"Number of instances of LANDevice."
".InternetGatewayDevice.WANDeviceNumberOfEntries",,"count(WANDevice)",,"unsignedInt","-","R",,,"Number of instances of WANDevice."
".InternetGatewayDevice.DeviceInfo.","DevInf",,,"object","-","R",,,"This object contains general device information."
".InternetGatewayDevice.DeviceInfo.Manufacturer",,,,"string(64)","-","R","S",,"The manufacturer of the CPE (human readable string)."
".InternetGatewayDevice.DeviceInfo.ManufacturerOUI",,,,"string(6)","-","R","S",,"Organizationally unique identifier of the device manufacturer.  Represented as a six hexadecimal-digit value using all upper-case letters and including any leading zeros.  The value MUST be a valid OUI as defined in ."
".InternetGatewayDevice.DeviceInfo.ModelName",,,,"string(64)","-","R","S",,"Model name of the CPE (human readable string)."
".InternetGatewayDevice.DeviceInfo.Description",,,,"string(256)","-","R","S",,"A full description of the CPE device (human readable string)."
".InternetGatewayDevice.DeviceInfo.ProductClass",,,,"string(64)","-","O","S",,"Identifier of the class of product for which the serial number applies.  That is, for a given manufacturer, this parameter is used to identify the product or class of product over which the SerialNumber parameter is unique."
".InternetGatewayDevice.DeviceInfo.SerialNumber",,,,"string(64)","-","R","S",,"Serial number of the CPE."
".InternetGatewayDevice.DeviceInfo.HardwareVersion",,,,"string(64)","-","R","S",,"A string identifying the particular CPE model and version."
".InternetGatewayDevice.DeviceInfo.SoftwareVersion",,,,"string(64)","-","R","S F",,"A string identifying the software version currently installed in the CPE.
To allow version comparisons, this element SHOULD be in the form of dot-delimited integers, where each successive integer represents a more minor category of variation.  For example, 3.0.21where the components mean: Major.Minor.Build."
".InternetGatewayDevice.DeviceInfo.ModemFirmwareVersion",,,,"string(64)","-","O","S",,"A string identifying the version of the modem firmware currently installed in the CPE.  This is applicable only when the modem firmware is separable from the overall CPE software."
".InternetGatewayDevice.DeviceInfo.EnabledOptions",,,,"string(1024)","-","O","S",,"Comma-separated list of the OptionName of each Option that is currently enabled in the CPE.  The OptionName of each is identical to the OptionName element of the OptionStruct described in .  Only those options are listed whose State indicates the option is enabled. "
".InternetGatewayDevice.DeviceInfo.X_TPLINO_NET_InstalledPackages",,,,"string(1024)","-","O","S",,
".InternetGatewayDevice.DeviceInfo.AdditionalHardwareVersion",,,,"string(64)","-","O","S",,"A comma separated list of any additional versions.  Represents any additional hardware version information the vendor may wish to supply."
".InternetGatewayDevice.DeviceInfo.AdditionalSoftwareVersion",,,,"string(64)","-","O","S",,"A comma separated list of any additional versions.  Represents any additional software version information the vendor may wish to supply."
".InternetGatewayDevice.DeviceInfo.SpecVersion",,,,"string(16)","-","R","S",,"Represents the version of the specification implemented by the device.  Currently 1.0 is the only available version."
".InternetGatewayDevice.DeviceInfo.ProvisioningCode",,,,"string(64)","R","R","  F",,"Identifier of the primary service provider and other provisioning information, which MAY be used by the Server to determine service provider-specific customization and provisioning parameters.
If non-empty, this argument SHOULD be in the form of a hierarchical descriptor with one or more nodes specified.  Each node in the hierarchy is represented as a 4-character sub-string, containing only numerals or upper-case letters.  If there is more than one node indicated, each node is separated by a ""."" (dot).  Examples: ""TLCO"" or ""TLCO.GRP2""."
".InternetGatewayDevice.DeviceInfo.UpTime",,1,,"unsignedInt","-","R","S N",,"Time in seconds since the CPE was last restarted."
".InternetGatewayDevice.DeviceInfo.FirstUseDate",,,,"dateTime","-","O","S",,"Date and time in UTC that the CPE first successfully established a network connection."
".InternetGatewayDevice.DeviceInfo.DeviceLog",,,,"string(32K)","-","R","S N",,"Vendor-specific log(s)."
".InternetGatewayDevice.DeviceInfo.SyslogServer",,,,"ipv4","O","O",,"restart_syslog","Syslog Server Address"
".InternetGatewayDevice.DeviceInfo.X_TPLINO_GELFServer",,,,"ipv4","O","O",,,"GELF Server (Graylog2) Address. TPLINO components log to the GELF Server if possible."
".InternetGatewayDevice.DeviceInfo.X_TPLINO_LoggingEnabled",,0,1,"boolean","O","O",,,"Controls whether TPLINO components log debug messages (preliminary)"
".InternetGatewayDevice.DeviceInfo.X_TPLINO_SyslogBOMEnabled",,,,"boolean","O","O",,,"Controls whether TPLINO components using the RFC5424 Syslog protocol send the UTF-8 BOM in every message."
".InternetGatewayDevice.DeviceInfo.X_TPLINO_MultilineSyslogEnabled",,,,"boolean","O","O",,,"Controls whether TPLINO components will send multiline Syslog messages if possible"
".InternetGatewayDevice.DeviceInfo.X_TPLINO_FQHostname",,,,"string(1024)","O","O",,"change_hname","The full qualified hostname of this device"
".InternetGatewayDevice.DeviceInfo.VendorConfigFileNumberOfEntries",,"count(VendorConfigFile)",,"unsignedInt","-","O",,,"Number of instances of VendorConfigFile."
".InternetGatewayDevice.DeviceInfo.VendorConfigFile.","VCfgF",,,,,,"S",,
".InternetGatewayDevice.DeviceInfo.VendorConfigFile.{i}.",,,,"object","-","O","S",,"Every instance of this object is a Vendor Configuration File, and contains parameters associated with the Vendor Configuration File."
".InternetGatewayDevice.DeviceInfo.VendorConfigFile.{i}.Name",,,,"string(64)","-","C","S",,"Name of the vendor configuration file."
".InternetGatewayDevice.DeviceInfo.VendorConfigFile.{i}.Version",,,,"string(16)","-","C","S",,"A string identifying the configuration file version currently used in the CPE."
".InternetGatewayDevice.DeviceInfo.VendorConfigFile.{i}.Date",,,,"dateTime","-","C","S",,"Date and time when the content of the current version of this vendor configuration file was first applied by the CPE."
".InternetGatewayDevice.DeviceInfo.VendorConfigFile.{i}.Description",,,,"string(256)","-","O","S",,"A description of the vendor configuration file (human-readable string)."
".InternetGatewayDevice.DeviceConfig.","DevCfg",,,"object","-","O",,,"This object contains general configuration parameters."
".InternetGatewayDevice.DeviceConfig.PersistentData",,,,"string(256)","O","O",,,"Arbitrary user data that must persist across CPE reboots."
".InternetGatewayDevice.DeviceConfig.ConfigFile",,,,"string(32K)","O","O",,,"A dump of the currently running configuration on the CPE.  This parameter enables the ability to backup and restore the last known good state of the CPE.  It returns a vendor-specific document that defines the state of the CPE.  The document must be capable of restoring the CPE's state when written back to the CPE using SetParameterValues."
".InternetGatewayDevice.ManagementServer.","MgtSrv",,,"object","-","R",,,"This object contains parameters relating to the CPE's association with an ACS."
".InternetGatewayDevice.ManagementServer.URL",,,,"string(256)","R","R",,,"URL for the CPE to connect to the ACS using the CPE WAN Management Protocol. 
This parameter MUST be in the form of a valid HTTP or HTTPS URL .  An HTTPS URL indicates that the ACS supports SSL.
The ""host"" portion of this URL is used by the CPE for validating the certificate from the ACS when using certificate-based authentication.
"
".InternetGatewayDevice.ManagementServer.Username",,,,"string(256)","R","-",,,"Username used to authenticate the CPE when making a connection to the ACS using the CPE WAN Management Protocol.
This username is used only for HTTP-based authentication of the CPE."
".InternetGatewayDevice.ManagementServer.Password",,,,"string(256)","R","-",,,"Password used to authenticate the CPE when making a connection to the ACS using the CPE WAN Management Protocol.
This password is used only for HTTP-based authentication of the CPE.
When read, this parameter returns an empty string, regardless of the actual value."
".InternetGatewayDevice.ManagementServer.PeriodicInformEnable",,,,"boolean","R","R",,,"Whether or not the CPE must periodically send CPE information to Server using the Inform method call."
".InternetGatewayDevice.ManagementServer.PeriodicInformInterval",,,,"unsignedInt [1:]","R","R",,,"The duration in seconds of the interval for which the CPE MUST attempt to connect with the ACS and call the Inform method if PeriodicﾭInformﾭEnable is true."
".InternetGatewayDevice.ManagementServer.PeriodicInformTime",,,,"dateTime","R","R",,,"An absolute time reference in UTC to determine when the CPE should initiate the Inform method calls.  Each Inform call must occur at this reference time plus or minus an integer multiple of the PeriodicInformInterval.
A zero dateTime value (0000-00-00T00:00:00) indicates that no particular time reference is specified.  That is, the CPE may locally choose the time reference, required only to adhere to the specified PeriodicﾭInformﾭInterval."
".InternetGatewayDevice.ManagementServer.ParameterKey",,,,"string(32)","-","R","  N",,"The value of the ParameterKey argument from the most recent SetParameterValues, AddObject, or DeleteObject method call from the Server.  If there have been no such calls, this value is empty."
".InternetGatewayDevice.ManagementServer.ConnectionRequestURL",,,,"string(256)","-","R","  F",,"HTTP URL for an ACS to make a Connection Request notification to the CPE.
In the form:
http://host:port/path
The ""host"" portion of the URL MAY be the IP address for the management interface of the CPE in lieu of a host name."
".InternetGatewayDevice.ManagementServer.ConnectionRequestUsername",,,,"string(256)","R","R",,,"Username used to authenticate an ACS making a Connection Request to the CPE."
".InternetGatewayDevice.ManagementServer.ConnectionRequestPassword",,,,"string(256)","R","-",,,"Password used to authenticate an ACS making a Connection Request to the CPE.
When read, this parameter returns an empty string, regardless of the actual value."
".InternetGatewayDevice.ManagementServer.UpgradesManaged",,,,"boolean","R","R",,,"Indicates whether or not the ACS will manage upgrades for the CPE.  If true (1), the CPE SHOULD not use other means other than the ACS to seek out available upgrades.  If false (0), the CPE MAY use other means for this purpose."
".InternetGatewayDevice.ManagementServer.KickURL",,,,"string(256)","-","O","S",,"Present only for a CPE that supports the Kicked RPC method.
LAN-accessible URL from which the CPE can be ""kicked"" to initiate the Kicked RPC method call.  MUST be an absolute URL including a host name or IP address as would be used on the LAN side of the CPE."
".InternetGatewayDevice.ManagementServer.DownloadProgressURL",,,,"string(256)","-","O","S",,"Present only for a CPE that provides a LAN-side web page to show progress during a file download.
LAN-accessible URL to which a web-server associated with the ACS may redirect a user's browser on initiation of a file download to observer the status of the download."
".InternetGatewayDevice.ManagementServer.X_TPOSS_Bootstrap.","X_TPBS",,,"object","O","O","S",,
".InternetGatewayDevice.ManagementServer.X_TPOSS_Bootstrap.BootstrapState",,0,1,"enum(None,Requested,Complete)","O","O","S",,
".InternetGatewayDevice.ManagementServer.X_TPOSS_Bootstrap.Status",,,,"unsignedInt","O","O","S",,
".InternetGatewayDevice.ManagementServer.X_TPOSS_Bootstrap.Message",,,,"string(256)","O","O","S",,
".InternetGatewayDevice.X_TPLINO_NET_SNMP.","SNMP",,,"object","-","O",,,
".InternetGatewayDevice.X_TPLINO_NET_SNMP.Enabled",,,,"boolean","O","O",,"restart_snmpd",
".InternetGatewayDevice.X_TPLINO_NET_SNMP.Contact",,,,"string(256)","O","O",,"restart_snmpd",
".InternetGatewayDevice.X_TPLINO_NET_SNMP.Location",,,,"string(256)","O","O",,"restart_snmpd",
".InternetGatewayDevice.X_TPLINO_NET_SNMP.ReadCommunity",,,,"string(256)","O","O",,"restart_snmpd",
".InternetGatewayDevice.Time.","Time",,,"object","-","O",,,"This object contains parameters relating an NTP or SNTP time client in the CPE.  Support for this object is Optional."
".InternetGatewayDevice.Time.NTPServer1",,,,"string(64)","C","C",,"check_ntpd","First NTP timeserver.  Either a host name or IP address."
".InternetGatewayDevice.Time.NTPServer2",,,,"string(64)","C","C",,"check_ntpd","Second NTP timeserver.  Either a host name or IP address."
".InternetGatewayDevice.Time.NTPServer3",,,,"string(64)","O","O",,"check_ntpd","Third NTP timeserver.  Either a host name or IP address."
".InternetGatewayDevice.Time.NTPServer4",,,,"string(64)","O","O",,"check_ntpd","Fourth NTP timeserver.  Either a host name or IP address."
